Номер студента,Сумма,Курс,Время,Дата,Ключ заказа
75,8475.0,Аналитика старт,2026-08-18 18:53:33,2026-08-18,75|2026-08-18 18:53:33
70,8475.0,Аналитика старт,2026-08-18 19:10:04,2026-08-18,70|2026-08-18 19:10:04
413,8745.0,Аналитика старт,2026-08-18 19:40:47,2026-08-18,413|2026-08-18 19:40:47
468,9450.0,Линейная алгебра,2026-08-19 07:10:12,2026-08-19,468|2026-08-19 07:10:12
287,6950.0,Data Science,2026-08-19 07:46:07,2026-08-19,287|2026-08-19 07:46:07
575,8245.0,Алгоритмы старт,2026-08-19 09:21:46,2026-08-19,575|2026-08-19 09:21:46
575,8245.0,Аналитика про,2026-08-19 09:21:46,2026-08-19,575|2026-08-19 09:21:46
575,8245.0,Аналитика старт,2026-08-19 09:21:46,2026-08-19,575|2026-08-19 09:21:46
386,7000.0,Backend про,2026-08-19 13:53:46,2026-08-19,386|2026-08-19 13:53:46
592,8245.0,Алгоритмы старт,2026-08-19 20:38:02,2026-08-19,592|2026-08-19 20:38:02
351,9450.0,Линейная алгебра,2026-08-20 11:12:25,2026-08-20,351|2026-08-20 11:12:25
392,8745.0,Аналитика старт,2026-08-20 13:14:17,2026-08-20,392|2026-08-20 13:14:17
501,8745.0,ML старт,2026-08-20 14:06:32,2026-08-20,501|2026-08-20 14:06:32
492,9950.0,Теория вероятностей,2026-08-20 14:21:52,2026-08-20,492|2026-08-20 14:21:52
146,6950.0,К ВУЗу,2026-08-20 16:27:30,2026-08-20,146|2026-08-20 16:27:30
101,8745.0,Алгоритмы старт,2026-08-20 17:34:00,2026-08-20,101|2026-08-20 17:34:00
199,9950.0,Мат анализ,2026-08-21 09:02:18,2026-08-21,199|2026-08-21 09:02:18
578,8245.0,Аналитика про,2026-08-21 12:29:55,2026-08-21,578|2026-08-21 12:29:55
92,9950.0,Линейная алгебра,2026-08-21 15:14:39,2026-08-21,92|2026-08-21 15:14:39
69,6950.0,К ВУЗу,2026-08-22 04:22:43,2026-08-22,69|2026-08-22 04:22:43
437,8950.0,AI агенты,2026-08-22 08:23:59,2026-08-22,437|2026-08-22 08:23:59
218,8475.0,Backend про,2026-08-22 09:03:23,2026-08-22,218|2026-08-22 09:03:23
218,8475.0,Алгоритмы про,2026-08-22 09:03:23,2026-08-22,218|2026-08-22 09:03:23
156,7475.0,Алгоритмы про,2026-08-22 10:54:14,2026-08-22,156|2026-08-22 10:54:14
156,7475.0,Алгоритмы старт,2026-08-22 10:54:14,2026-08-22,156|2026-08-22 10:54:14
211,7475.0,AI агенты,2026-08-22 11:08:24,2026-08-22,211|2026-08-22 11:08:24
211,7475.0,ML про,2026-08-22 11:08:24,2026-08-22,211|2026-08-22 11:08:24
370,5750.0,Backend про,2026-08-22 11:14:12,2026-08-22,370|2026-08-22 11:14:12
277,5750.0,Backend про,2026-08-22 11:24:53,2026-08-22,277|2026-08-22 11:24:53
293,8950.0,Backend про,2026-08-22 11:35:35,2026-08-22,293|2026-08-22 11:35:35
353,8950.0,Аналитика старт,2026-08-22 11:39:22,2026-08-22,353|2026-08-22 11:39:22
458,8450.0,Backend про,2026-08-22 11:58:37,2026-08-22,458|2026-08-22 11:58:37
87,7475.0,Алгоритмы про,2026-08-22 13:23:20,2026-08-22,87|2026-08-22 13:23:20
248,7475.0,ML про,2026-08-22 13:43:42,2026-08-22,248|2026-08-22 13:43:42
496,8950.0,ML старт,2026-08-22 15:01:37,2026-08-22,496|2026-08-22 15:01:37
372,7450.0,AI агенты,2026-08-22 15:11:44,2026-08-22,372|2026-08-22 15:11:44
525,8950.0,Аналитика старт,2026-08-22 15:39:49,2026-08-22,525|2026-08-22 15:39:49
600,7450.0,AI агенты,2026-08-22 15:48:13,2026-08-22,600|2026-08-22 15:48:13
485,8450.0,Аналитика про,2026-08-22 16:02:00,2026-08-22,485|2026-08-22 16:02:00
5,5750.0,ML про,2026-08-22 16:19:00,2026-08-22,5|2026-08-22 16:19:00
595,7475.0,AI агенты,2026-08-22 16:55:59,2026-08-22,595|2026-08-22 16:55:59
595,7475.0,ML про,2026-08-22 16:55:59,2026-08-22,595|2026-08-22 16:55:59
17,9950.0,Алгоритмы,2026-08-22 17:01:20,2026-08-22,17|2026-08-22 17:01:20
297,8450.0,Алгоритмы,2026-08-22 17:26:07,2026-08-22,297|2026-08-22 17:26:07
240,6450.0,Алгоритмы про,2026-08-22 18:00:15,2026-08-22,240|2026-08-22 18:00:15
373,7475.0,Алгоритмы про,2026-08-22 18:58:36,2026-08-22,373|2026-08-22 18:58:36
373,7475.0,Алгоритмы старт,2026-08-22 18:58:36,2026-08-22,373|2026-08-22 18:58:36
220,9950.0,Линейная алгебра,2026-08-22 19:19:35,2026-08-22,220|2026-08-22 19:19:35
200,7475.0,Аналитика про,2026-08-22 19:40:16,2026-08-22,200|2026-08-22 19:40:16
200,7475.0,Аналитика старт,2026-08-22 19:40:16,2026-08-22,200|2026-08-22 19:40:16
263,8950.0,ML про,2026-08-22 19:53:10,2026-08-22,263|2026-08-22 19:53:10
559,8450.0,Алгоритмы,2026-08-23 04:11:37,2026-08-23,559|2026-08-23 04:11:37
338,7475.0,Аналитика про,2026-08-23 06:47:37,2026-08-23,338|2026-08-23 06:47:37
338,7475.0,Аналитика старт,2026-08-23 06:47:37,2026-08-23,338|2026-08-23 06:47:37
209,8950.0,Backend про,2026-08-23 06:58:29,2026-08-23,209|2026-08-23 06:58:29
221,7475.0,Аналитика про,2026-08-23 07:41:37,2026-08-23,221|2026-08-23 07:41:37
221,7475.0,Аналитика старт,2026-08-23 07:41:37,2026-08-23,221|2026-08-23 07:41:37
118,8450.0,Backend про,2026-08-23 08:24:45,2026-08-23,118|2026-08-23 08:24:45
514,8950.0,ML старт,2026-08-23 09:48:08,2026-08-23,514|2026-08-23 09:48:08
312,7475.0,Аналитика про,2026-08-23 09:59:13,2026-08-23,312|2026-08-23 09:59:13
30,8950.0,ML про,2026-08-23 10:06:51,2026-08-23,30|2026-08-23 10:06:51
581,8950.0,ML про,2026-08-23 11:19:47,2026-08-23,581|2026-08-23 11:19:47
341,8950.0,ML про,2026-08-23 11:59:04,2026-08-23,341|2026-08-23 11:59:04
237,8950.0,AI агенты,2026-08-23 13:29:45,2026-08-23,237|2026-08-23 13:29:45
447,8450.0,Backend про,2026-08-23 13:46:56,2026-08-23,447|2026-08-23 13:46:56
98,7475.0,Аналитика про,2026-08-23 14:14:48,2026-08-23,98|2026-08-23 14:14:48
98,7475.0,Аналитика старт,2026-08-23 14:14:48,2026-08-23,98|2026-08-23 14:14:48
580,8950.0,AI агенты,2026-08-23 14:38:29,2026-08-23,580|2026-08-23 14:38:29
71,8450.0,Алгоритмы,2026-08-23 14:57:08,2026-08-23,71|2026-08-23 14:57:08
436,8450.0,Алгоритмы про,2026-08-23 15:04:52,2026-08-23,436|2026-08-23 15:04:52
229,8450.0,AI агенты,2026-08-23 15:38:51,2026-08-23,229|2026-08-23 15:38:51
307,8450.0,Аналитика про,2026-08-23 15:39:57,2026-08-23,307|2026-08-23 15:39:57
235,8450.0,AI агенты,2026-08-23 16:04:24,2026-08-23,235|2026-08-23 16:04:24
430,8000.0,К ВУЗу,2026-08-23 16:17:56,2026-08-23,430|2026-08-23 16:17:56
172,8950.0,AI агенты,2026-08-23 16:29:57,2026-08-23,172|2026-08-23 16:29:57
315,7475.0,AI агенты,2026-08-23 16:40:25,2026-08-23,315|2026-08-23 16:40:25
315,7475.0,Backend про,2026-08-23 16:40:25,2026-08-23,315|2026-08-23 16:40:25
149,8950.0,ML про,2026-08-23 16:50:14,2026-08-23,149|2026-08-23 16:50:14
290,7475.0,Аналитика старт,2026-08-23 16:53:02,2026-08-23,290|2026-08-23 16:53:02
557,8950.0,ML про,2026-08-23 16:56:11,2026-08-23,557|2026-08-23 16:56:11
513,6975.0,AI агенты,2026-08-23 17:34:10,2026-08-23,513|2026-08-23 17:34:10
513,6975.0,Алгоритмы про,2026-08-23 17:34:10,2026-08-23,513|2026-08-23 17:34:10
424,7475.0,AI агенты,2026-08-23 17:45:31,2026-08-23,424|2026-08-23 17:45:31
424,7475.0,Аналитика про,2026-08-23 17:45:31,2026-08-23,424|2026-08-23 17:45:31
216,7475.0,AI агенты,2026-08-23 18:13:18,2026-08-23,216|2026-08-23 18:13:18
367,8245.0,Аналитика старт,2026-08-23 18:18:15,2026-08-23,367|2026-08-23 18:18:15
542,8950.0,Backend старт,2026-08-23 18:26:56,2026-08-23,542|2026-08-23 18:26:56
107,6975.0,AI агенты,2026-08-23 18:28:17,2026-08-23,107|2026-08-23 18:28:17
107,6975.0,Аналитика про,2026-08-23 18:28:17,2026-08-23,107|2026-08-23 18:28:17
298,6975.0,Аналитика про,2026-08-23 18:48:14,2026-08-23,298|2026-08-23 18:48:14
95,7475.0,AI агенты,2026-08-23 19:08:11,2026-08-23,95|2026-08-23 19:08:11
95,7475.0,Аналитика про,2026-08-23 19:08:11,2026-08-23,95|2026-08-23 19:08:11
203,7475.0,AI агенты,2026-08-23 20:42:20,2026-08-23,203|2026-08-23 20:42:20
203,7475.0,Аналитика про,2026-08-23 20:42:20,2026-08-23,203|2026-08-23 20:42:20
539,8950.0,AI агенты,2026-08-23 20:55:41,2026-08-23,539|2026-08-23 20:55:41
257,8450.0,Backend про,2026-08-23 20:56:06,2026-08-23,257|2026-08-23 20:56:06
360,8950.0,AI агенты,2026-08-23 20:57:22,2026-08-23,360|2026-08-23 20:57:22
213,8950.0,Аналитика про,2026-08-23 20:58:38,2026-08-23,213|2026-08-23 20:58:38
104,7475.0,AI агенты,2026-08-23 21:00:30,2026-08-23,104|2026-08-23 21:00:30
104,7475.0,ML про,2026-08-23 21:00:30,2026-08-23,104|2026-08-23 21:00:30
91,8950.0,ML старт,2026-08-24 00:44:40,2026-08-24,91|2026-08-24 00:44:40
357,9950.0,Теория вероятностей,2026-08-24 02:46:33,2026-08-24,357|2026-08-24 02:46:33
440,7475.0,ML про,2026-08-24 03:20:05,2026-08-24,440|2026-08-24 03:20:05
215,6975.0,Алгоритмы про,2026-08-24 03:22:36,2026-08-24,215|2026-08-24 03:22:36
549,8222.5,AI агенты,2026-08-24 05:25:17,2026-08-24,549|2026-08-24 05:25:17
549,8222.5,Backend про,2026-08-24 05:25:17,2026-08-24,549|2026-08-24 05:25:17
425,8503.0,AI агенты,2026-08-24 07:03:39,2026-08-24,425|2026-08-24 07:03:39
489,8850.0,ML старт,2026-08-24 08:47:25,2026-08-24,489|2026-08-24 08:47:25
243,8950.0,AI агенты,2026-08-24 10:40:35,2026-08-24,243|2026-08-24 10:40:35
268,8950.0,AI агенты,2026-08-24 12:52:49,2026-08-24,268|2026-08-24 12:52:49
529,7475.0,Алгоритмы про,2026-08-24 13:11:03,2026-08-24,529|2026-08-24 13:11:03
529,7475.0,Алгоритмы старт,2026-08-24 13:11:03,2026-08-24,529|2026-08-24 13:11:03
368,8950.0,Аналитика про,2026-08-24 14:21:10,2026-08-24,368|2026-08-24 14:21:10
141,7475.0,Алгоритмы старт,2026-08-24 14:48:12,2026-08-24,141|2026-08-24 14:48:12
192,7475.0,AI агенты,2026-08-24 15:05:04,2026-08-24,192|2026-08-24 15:05:04
192,7475.0,ML про,2026-08-24 15:05:04,2026-08-24,192|2026-08-24 15:05:04
475,9950.0,Линейная алгебра,2026-08-24 15:16:31,2026-08-24,475|2026-08-24 15:16:31
85,8950.0,Аналитика про,2026-08-24 15:57:32,2026-08-24,85|2026-08-24 15:57:32
194,8950.0,Алгоритмы старт,2026-08-24 16:25:21,2026-08-24,194|2026-08-24 16:25:21
111,8950.0,Аналитика про,2026-08-24 16:49:26,2026-08-24,111|2026-08-24 16:49:26
299,8950.0,Аналитика про,2026-08-24 16:58:19,2026-08-24,299|2026-08-24 16:58:19
201,6950.0,Data Science,2026-08-24 17:28:20,2026-08-24,201|2026-08-24 17:28:20
263,6000.0,AI агенты,2026-08-25 03:19:38,2026-08-25,263|2026-08-25 03:19:38
583,8950.0,AI агенты,2026-08-25 04:27:38,2026-08-25,583|2026-08-25 04:27:38
168,7475.0,AI агенты,2026-08-25 06:26:04,2026-08-25,168|2026-08-25 06:26:04
168,7475.0,ML про,2026-08-25 06:26:04,2026-08-25,168|2026-08-25 06:26:04
165,8450.0,Аналитика про,2026-08-25 07:21:38,2026-08-25,165|2026-08-25 07:21:38
455,8950.0,Backend старт,2026-08-25 07:53:50,2026-08-25,455|2026-08-25 07:53:50
148,7475.0,AI агенты,2026-08-25 09:49:25,2026-08-25,148|2026-08-25 09:49:25
116,7475.0,АВ тестам,2026-08-25 10:01:02,2026-08-25,116|2026-08-25 10:01:02
116,7475.0,Аналитика про,2026-08-25 10:01:02,2026-08-25,116|2026-08-25 10:01:02
121,8950.0,AI агенты,2026-08-25 11:38:56,2026-08-25,121|2026-08-25 11:38:56
138,5750.0,ML про,2026-08-25 12:39:08,2026-08-25,138|2026-08-25 12:39:08
463,8950.0,ML про,2026-08-25 13:16:31,2026-08-25,463|2026-08-25 13:16:31
560,8950.0,AI агенты,2026-08-25 14:09:51,2026-08-25,560|2026-08-25 14:09:51
140,8450.0,Аналитика старт,2026-08-25 16:01:50,2026-08-25,140|2026-08-25 16:01:50
202,7475.0,AI агенты,2026-08-25 19:24:14,2026-08-25,202|2026-08-25 19:24:14
202,7475.0,Backend про,2026-08-25 19:24:14,2026-08-25,202|2026-08-25 19:24:14
452,8450.0,AI агенты,2026-08-25 21:09:34,2026-08-25,452|2026-08-25 21:09:34
269,7475.0,Backend про,2026-08-25 22:26:03,2026-08-25,269|2026-08-25 22:26:03
163,8450.0,AI агенты,2026-08-26 01:23:32,2026-08-26,163|2026-08-26 01:23:32
418,7475.0,Backend про,2026-08-26 04:03:43,2026-08-26,418|2026-08-26 04:03:43
418,7475.0,Backend старт,2026-08-26 04:03:43,2026-08-26,418|2026-08-26 04:03:43
552,7475.0,Аналитика про,2026-08-26 04:37:12,2026-08-26,552|2026-08-26 04:37:12
605,8950.0,Алгоритмы про,2026-08-26 07:26:53,2026-08-26,605|2026-08-26 07:26:53
178,8950.0,AI агенты,2026-08-26 09:15:13,2026-08-26,178|2026-08-26 09:15:13
599,8950.0,Аналитика старт,2026-08-26 12:25:10,2026-08-26,599|2026-08-26 12:25:10
466,8950.0,ML про,2026-08-26 13:56:39,2026-08-26,466|2026-08-26 13:56:39
255,8950.0,ML старт,2026-08-26 14:52:53,2026-08-26,255|2026-08-26 14:52:53
587,8450.0,AI агенты,2026-08-26 21:47:21,2026-08-26,587|2026-08-26 21:47:21
136,7475.0,AI агенты,2026-08-27 08:57:04,2026-08-27,136|2026-08-27 08:57:04
136,7475.0,Backend про,2026-08-27 08:57:04,2026-08-27,136|2026-08-27 08:57:04
506,8950.0,AI агенты,2026-08-27 12:29:06,2026-08-27,506|2026-08-27 12:29:06
526,8950.0,AI агенты,2026-08-27 13:32:56,2026-08-27,526|2026-08-27 13:32:56
185,6975.0,AI агенты,2026-08-27 14:36:47,2026-08-27,185|2026-08-27 14:36:47
185,6975.0,ML про,2026-08-27 14:36:47,2026-08-27,185|2026-08-27 14:36:47
568,7475.0,ML старт,2026-08-27 15:10:07,2026-08-27,568|2026-08-27 15:10:07
568,7475.0,Аналитика про,2026-08-27 15:10:07,2026-08-27,568|2026-08-27 15:10:07
191,7462.5,AI агенты,2026-08-27 15:11:14,2026-08-27,191|2026-08-27 15:11:14
191,7462.5,Алгоритмы,2026-08-27 15:11:14,2026-08-27,191|2026-08-27 15:11:14
191,7462.5,Мат анализ,2026-08-27 15:11:14,2026-08-27,191|2026-08-27 15:11:14
191,7462.5,Теория вероятностей,2026-08-27 15:11:14,2026-08-27,191|2026-08-27 15:11:14
39,9950.0,Мат анализ,2026-08-27 17:02:28,2026-08-27,39|2026-08-27 17:02:28
61,6975.0,ML про,2026-08-27 19:44:33,2026-08-27,61|2026-08-27 19:44:33
61,6975.0,ML старт,2026-08-27 19:44:33,2026-08-27,61|2026-08-27 19:44:33
11,6975.0,ML старт,2026-08-27 20:09:27,2026-08-27,11|2026-08-27 20:09:27
122,7475.0,ML про,2026-08-27 20:55:44,2026-08-27,122|2026-08-27 20:55:44
122,7475.0,ML старт,2026-08-27 20:55:44,2026-08-27,122|2026-08-27 20:55:44
177,8950.0,Аналитика старт,2026-08-28 10:47:56,2026-08-28,177|2026-08-28 10:47:56
219,9950.0,Мат анализ,2026-08-28 13:23:53,2026-08-28,219|2026-08-28 13:23:53
322,7475.0,ML про,2026-08-28 14:03:47,2026-08-28,322|2026-08-28 14:03:47
322,7475.0,Алгоритмы старт,2026-08-28 14:03:47,2026-08-28,322|2026-08-28 14:03:47
289,8950.0,AI агенты,2026-08-28 16:24:51,2026-08-28,289|2026-08-28 16:24:51
29,8450.0,Backend старт,2026-08-28 18:20:56,2026-08-28,29|2026-08-28 18:20:56
314,8950.0,Аналитика старт,2026-08-28 18:44:36,2026-08-28,314|2026-08-28 18:44:36
236,7475.0,ML про,2026-08-29 05:27:29,2026-08-29,236|2026-08-29 05:27:29
340,5975.0,АВ тестам,2026-08-29 09:29:52,2026-08-29,340|2026-08-29 09:29:52
340,5975.0,Аналитика старт,2026-08-29 09:29:52,2026-08-29,340|2026-08-29 09:29:52
393,9450.0,Мат анализ,2026-08-29 09:45:18,2026-08-29,393|2026-08-29 09:45:18
144,4475.0,Аналитика про,2026-08-29 11:51:08,2026-08-29,144|2026-08-29 11:51:08
144,4475.0,Аналитика старт,2026-08-29 11:51:08,2026-08-29,144|2026-08-29 11:51:08
242,8950.0,ML про,2026-08-29 13:44:52,2026-08-29,242|2026-08-29 13:44:52
27,8950.0,ML про,2026-08-29 14:47:39,2026-08-29,27|2026-08-29 14:47:39
99,8450.0,AI агенты,2026-08-29 19:35:36,2026-08-29,99|2026-08-29 19:35:36
483,8450.0,AI агенты,2026-08-29 19:38:52,2026-08-29,483|2026-08-29 19:38:52
432,8950.0,Backend про,2026-08-29 19:39:58,2026-08-29,432|2026-08-29 19:39:58
585,6975.0,AI агенты,2026-08-29 19:40:39,2026-08-29,585|2026-08-29 19:40:39
585,6975.0,ML про,2026-08-29 19:40:39,2026-08-29,585|2026-08-29 19:40:39
285,6975.0,AI агенты,2026-08-30 08:22:49,2026-08-30,285|2026-08-30 08:22:49
285,6975.0,ML про,2026-08-30 08:22:49,2026-08-30,285|2026-08-30 08:22:49
535,7475.0,Backend старт,2026-08-30 08:24:30,2026-08-30,535|2026-08-30 08:24:30
535,7475.0,Алгоритмы старт,2026-08-30 08:24:30,2026-08-30,535|2026-08-30 08:24:30
573,8950.0,AI агенты,2026-08-30 09:39:42,2026-08-30,573|2026-08-30 09:39:42
531,8950.0,Backend старт,2026-08-30 10:04:17,2026-08-30,531|2026-08-30 10:04:17
432,8545.0,AI агенты,2026-08-30 10:31:12,2026-08-30,432|2026-08-30 10:31:12
411,8545.0,AI агенты,2026-08-30 11:21:33,2026-08-30,411|2026-08-30 11:21:33
284,6975.0,ML про,2026-08-30 11:56:49,2026-08-30,284|2026-08-30 11:56:49
534,8450.0,AI агенты,2026-08-30 12:55:04,2026-08-30,534|2026-08-30 12:55:04
145,8950.0,Аналитика про,2026-08-30 13:06:05,2026-08-30,145|2026-08-30 13:06:05
81,8450.0,AI агенты,2026-08-30 13:44:26,2026-08-30,81|2026-08-30 13:44:26
76,6975.0,Алгоритмы про,2026-08-30 14:48:44,2026-08-30,76|2026-08-30 14:48:44
76,6975.0,Аналитика про,2026-08-30 14:48:44,2026-08-30,76|2026-08-30 14:48:44
565,6975.0,Алгоритмы про,2026-08-30 15:30:24,2026-08-30,565|2026-08-30 15:30:24
565,6975.0,Алгоритмы старт,2026-08-30 15:30:24,2026-08-30,565|2026-08-30 15:30:24
437,1000.0,AI агенты,2026-08-30 16:16:42,2026-08-30,437|2026-08-30 16:16:42
253,8950.0,AI агенты,2026-08-30 17:04:49,2026-08-30,253|2026-08-30 17:04:49
241,8950.0,Backend старт,2026-08-30 17:07:59,2026-08-30,241|2026-08-30 17:07:59
25,8450.0,ML про,2026-08-30 18:34:15,2026-08-30,25|2026-08-30 18:34:15
566,8450.0,ML про,2026-08-30 18:45:42,2026-08-30,566|2026-08-30 18:45:42
274,6975.0,Аналитика про,2026-08-30 23:37:30,2026-08-30,274|2026-08-30 23:37:30
14,8950.0,AI агенты,2026-08-30 23:52:21,2026-08-30,14|2026-08-30 23:52:21
90,6975.0,Алгоритмы старт,2026-08-31 01:05:18,2026-08-31,90|2026-08-31 01:05:18
538,7475.0,Backend старт,2026-08-31 06:14:52,2026-08-31,538|2026-08-31 06:14:52
538,7475.0,Алгоритмы старт,2026-08-31 06:14:52,2026-08-31,538|2026-08-31 06:14:52
157,7475.0,AI агенты,2026-08-31 06:39:53,2026-08-31,157|2026-08-31 06:39:53
157,7475.0,ML про,2026-08-31 06:39:53,2026-08-31,157|2026-08-31 06:39:53
134,6975.0,Алгоритмы про,2026-08-31 08:06:47,2026-08-31,134|2026-08-31 08:06:47
267,8950.0,Аналитика про,2026-08-31 08:26:17,2026-08-31,267|2026-08-31 08:26:17
387,8545.0,AI агенты,2026-08-31 09:09:41,2026-08-31,387|2026-08-31 09:09:41
403,8950.0,Backend про,2026-08-31 10:18:44,2026-08-31,403|2026-08-31 10:18:44
497,8950.0,Backend про,2026-08-31 12:11:14,2026-08-31,497|2026-08-31 12:11:14
26,8975.0,Backend про,2026-08-31 14:03:44,2026-08-31,26|2026-08-31 14:03:44
26,8975.0,Дискретка,2026-08-31 14:03:44,2026-08-31,26|2026-08-31 14:03:44
503,7471.5,Аналитика про,2026-08-31 14:40:32,2026-08-31,503|2026-08-31 14:40:32
503,7471.5,Аналитика старт,2026-08-31 14:40:32,2026-08-31,503|2026-08-31 14:40:32
4,8950.0,AI агенты,2026-08-31 15:42:34,2026-08-31,4|2026-08-31 15:42:34
599,8950.0,Аналитика про,2026-08-31 16:05:26,2026-08-31,599|2026-08-31 16:05:26
305,7475.0,Алгоритмы про,2026-08-31 17:03:19,2026-08-31,305|2026-08-31 17:03:19
305,7475.0,Алгоритмы старт,2026-08-31 17:03:19,2026-08-31,305|2026-08-31 17:03:19
239,8450.0,Аналитика про,2026-08-31 17:06:09,2026-08-31,239|2026-08-31 17:06:09
77,8450.0,Аналитика про,2026-08-31 17:54:30,2026-08-31,77|2026-08-31 17:54:30
171,8950.0,Аналитика про,2026-08-31 18:20:33,2026-08-31,171|2026-08-31 18:20:33
272,8950.0,Аналитика про,2026-08-31 18:34:40,2026-08-31,272|2026-08-31 18:34:40
324,8450.0,AI агенты,2026-08-31 19:22:31,2026-08-31,324|2026-08-31 19:22:31
301,8975.0,ML старт,2026-08-31 20:57:15,2026-08-31,301|2026-08-31 20:57:15
301,8975.0,Аналитика старт,2026-08-31 20:57:15,2026-08-31,301|2026-08-31 20:57:15
390,8975.0,Аналитика старт,2026-09-01 02:23:30,2026-09-01,390|2026-09-01 02:23:30
189,8945.0,Аналитика старт,2026-09-01 07:49:46,2026-09-01,189|2026-09-01 07:49:46
495,7475.0,ML про,2026-09-01 10:30:21,2026-09-01,495|2026-09-01 10:30:21
495,7475.0,ML старт,2026-09-01 10:30:21,2026-09-01,495|2026-09-01 10:30:21
296,8950.0,Аналитика старт,2026-09-01 10:46:43,2026-09-01,296|2026-09-01 10:46:43
195,8450.0,AI агенты,2026-09-01 10:54:53,2026-09-01,195|2026-09-01 10:54:53
524,8945.0,Аналитика про,2026-09-01 11:54:01,2026-09-01,524|2026-09-01 11:54:01
423,7475.0,ML про,2026-09-01 12:44:58,2026-09-01,423|2026-09-01 12:44:58
115,8945.0,Аналитика про,2026-09-01 13:09:50,2026-09-01,115|2026-09-01 13:09:50
247,7475.0,ML про,2026-09-01 14:59:35,2026-09-01,247|2026-09-01 14:59:35
247,7475.0,ML старт,2026-09-01 14:59:35,2026-09-01,247|2026-09-01 14:59:35
144,8950.0,Аналитика про,2026-09-01 15:30:39,2026-09-01,144|2026-09-01 15:30:39
547,7475.0,Backend про,2026-09-01 15:53:22,2026-09-01,547|2026-09-01 15:53:22
547,7475.0,Алгоритмы про,2026-09-01 15:53:22,2026-09-01,547|2026-09-01 15:53:22
226,7475.0,ML старт,2026-09-01 17:03:44,2026-09-01,226|2026-09-01 17:03:44
34,8945.0,Аналитика про,2026-09-01 17:23:37,2026-09-01,34|2026-09-01 17:23:37
231,8245.0,Алгоритмы,2026-09-01 18:08:01,2026-09-01,231|2026-09-01 18:08:01
231,8245.0,Дискретка,2026-09-01 18:08:01,2026-09-01,231|2026-09-01 18:08:01
231,8245.0,Линейная алгебра,2026-09-01 18:08:01,2026-09-01,231|2026-09-01 18:08:01
231,8245.0,Мат анализ,2026-09-01 18:08:01,2026-09-01,231|2026-09-01 18:08:01
231,8245.0,Теория вероятностей,2026-09-01 18:08:01,2026-09-01,231|2026-09-01 18:08:01
181,8950.0,Аналитика про,2026-09-01 18:44:37,2026-09-01,181|2026-09-01 18:44:37
343,8950.0,ML старт,2026-09-01 19:07:54,2026-09-01,343|2026-09-01 19:07:54
114,6975.0,AI агенты,2026-09-01 19:16:56,2026-09-01,114|2026-09-01 19:16:56
114,6975.0,ML про,2026-09-01 19:16:56,2026-09-01,114|2026-09-01 19:16:56
88,8950.0,AI агенты,2026-09-01 19:27:16,2026-09-01,88|2026-09-01 19:27:16
139,6975.0,AI агенты,2026-09-01 20:30:07,2026-09-01,139|2026-09-01 20:30:07
139,6975.0,ML старт,2026-09-01 20:30:07,2026-09-01,139|2026-09-01 20:30:07
37,5750.0,Backend про,2026-09-02 04:13:14,2026-09-02,37|2026-09-02 04:13:14
558,8245.0,Линейная алгебра,2026-09-02 08:49:58,2026-09-02,558|2026-09-02 08:49:58
288,8945.0,Аналитика про,2026-09-02 08:57:12,2026-09-02,288|2026-09-02 08:57:12
486,8950.0,Backend про,2026-09-02 09:28:52,2026-09-02,486|2026-09-02 09:28:52
555,7475.0,Алгоритмы про,2026-09-02 09:38:46,2026-09-02,555|2026-09-02 09:38:46
555,7475.0,Алгоритмы старт,2026-09-02 09:38:46,2026-09-02,555|2026-09-02 09:38:46
551,8950.0,Backend про,2026-09-02 09:58:19,2026-09-02,551|2026-09-02 09:58:19
419,7475.0,ML про,2026-09-02 10:06:52,2026-09-02,419|2026-09-02 10:06:52
419,7475.0,Алгоритмы про,2026-09-02 10:06:52,2026-09-02,419|2026-09-02 10:06:52
182,8950.0,Backend про,2026-09-02 10:14:11,2026-09-02,182|2026-09-02 10:14:11
244,8950.0,Алгоритмы старт,2026-09-02 10:24:40,2026-09-02,244|2026-09-02 10:24:40
50,8950.0,Алгоритмы старт,2026-09-02 10:32:55,2026-09-02,50|2026-09-02 10:32:55
541,7475.0,Алгоритмы старт,2026-09-02 10:48:17,2026-09-02,541|2026-09-02 10:48:17
541,7475.0,Аналитика старт,2026-09-02 10:48:17,2026-09-02,541|2026-09-02 10:48:17
523,8450.0,Backend про,2026-09-02 11:00:48,2026-09-02,523|2026-09-02 11:00:48
266,10000.0,Мат анализ,2026-09-02 11:33:22,2026-09-02,266|2026-09-02 11:33:22
128,8945.0,Аналитика про,2026-09-02 11:55:47,2026-09-02,128|2026-09-02 11:55:47
385,5975.0,АВ тестам,2026-09-02 14:17:34,2026-09-02,385|2026-09-02 14:17:34
385,5975.0,Аналитика старт,2026-09-02 14:17:34,2026-09-02,385|2026-09-02 14:17:34
355,8450.0,Backend про,2026-09-02 14:30:26,2026-09-02,355|2026-09-02 14:30:26
572,8945.0,Аналитика про,2026-09-02 14:54:22,2026-09-02,572|2026-09-02 14:54:22
422,9450.0,Теория вероятностей,2026-09-02 15:30:05,2026-09-02,422|2026-09-02 15:30:05
493,9950.0,Линейная алгебра,2026-09-02 16:44:53,2026-09-02,493|2026-09-02 16:44:53
